"assumption","ES","gamma","n_bar","ICC_k","ICC_jk","ES_j","ES_k","ES_jk","ES_j_est","ES_k_est","ES_jk_est","cor_j","cor_k","cor_jk"
"met",0.5,0.05,100,0.05,0.05,1.11803398874989,1.11803398874989,1.11803398874989,1.12264761376911,1.11752109102808,1.11804747231676,0.699929753468008,0.615607285893757,0.255858598454127
"met",0.5,0.05,100,0.15,0,1.11803398874989,0.645497224367903,Inf,1.12166588608969,0.645743574872669,Inf,0.697382266135766,0.491755219650109,0.253626715443153
"met",0.5,0.05,100,0.15,0.01,1.11803398874989,0.645497224367903,2.5,1.12318782371936,0.645596571919419,2.50041656692484,0.697910121132118,0.491680962001073,0.253433496158969
"met",0.5,0.05,100,0.15,0.05,1.11803398874989,0.645497224367903,1.11803398874989,1.12176183221597,0.645826408132677,1.1179801075534,0.696176516138121,0.489227554746983,0.252035728893701
"met",0.5,0.05,100,0.25,0,1.11803398874989,0.5,Inf,1.12257476487923,0.500282504752804,Inf,0.694640860171253,0.418662814654818,0.249431091040664
"met",0.5,0.05,100,0.25,0.01,1.11803398874989,0.5,2.5,1.12033041081572,0.500727393002926,2.5003818828157,0.694571705779838,0.419410152045009,0.24909501940317
"met",0.5,0.05,100,0.25,0.05,1.11803398874989,0.5,1.11803398874989,1.12036374703527,0.50078563466723,1.11821841212023,0.692905882454101,0.419165441018271,0.247528875714629
"exogeneity",0.1,0.01,30,0.05,0,0.223606797749979,0.223606797749979,Inf,0.224697071959793,0.223569325164412,Inf,0.168997911587584,0.318033310504896,0.0518326965070248
"exogeneity",0.1,0.01,30,0.05,0.01,0.223606797749979,0.223606797749979,0.5,0.224010177921291,0.223809273153445,0.500058920408092,0.169197253237251,0.316898728029169,0.0517398956496615
"exogeneity",0.1,0.01,30,0.05,0.05,0.223606797749979,0.223606797749979,0.223606797749979,0.224496029047536,0.224024476312719,0.223731585411498,0.171508369553231,0.315081131006365,0.051474572292662
"exogeneity",0.1,0.01,30,0.15,0,0.223606797749979,0.129099444873581,Inf,0.224197792072649,0.129186853925741,Inf,0.167449986822093,0.382981016226715,0.0518408861748855
"exogeneity",0.1,0.01,30,0.15,0.01,0.223606797749979,0.129099444873581,0.5,0.224425027833195,0.129238859767718,0.499695411553752,0.1658772889283,0.383312091272957,0.051377702213763
"exogeneity",0.1,0.01,30,0.15,0.05,0.223606797749979,0.129099444873581,0.223606797749979,0.224163961269061,0.129348034649262,0.223657454598511,0.166029587796916,0.3814989873076,0.0512917151976986
"exogeneity",0.1,0.01,30,0.25,0,0.223606797749979,0.1,Inf,0.224221486377709,0.100063751645754,Inf,0.165587762753726,0.407187565553644,0.0511818176996682
"exogeneity",0.1,0.01,30,0.25,0.01,0.223606797749979,0.1,0.5,0.224484679178257,0.100034376050643,0.500235859511218,0.169367328393278,0.407039364601552,0.0511501253540775
"exogeneity",0.1,0.01,30,0.25,0.05,0.223606797749979,0.1,0.223606797749979,0.224155238573995,0.100095974618205,0.223662300353749,0.166452512088211,0.406564877966663,0.051136751325905
"exogeneity",0.1,0.01,100,0.05,0,0.223606797749979,0.223606797749979,Inf,0.223757955185328,0.223702257770268,Inf,0.197576614942944,0.443369542901185,0.0584996978685373
"exogeneity",0.1,0.01,100,0.05,0.01,0.223606797749979,0.223606797749979,0.5,0.223683083860432,0.22392790511728,0.500005617089045,0.198724583084651,0.441945353914338,0.0582542741045284
